,TWEIX,BRKA,DGRIX,LBF,FTRNX,JAVLX,OPGSX,PRTBX,PTTRX,PINCX,GSPC,VWNDX
20120330,0.018934,0.03363,0.032,0.00638,0.029995,0.02816,-0.11088,-0.000452,0.000323,0.001483,0.03216,0.032486
20120430,-0.005202,-0.00902,-0.010356,0.03134,-0.006158,-0.009619,-0.057084,-0.000452,0.014695,0.009642,-0.00668,-0.01368
20120531,-0.037908,-0.01614,-0.071288,-0.04327,-0.06893,-0.062716,-0.111146,-0.000603,0.008512,0.015382,-0.06006,-0.073509
20120629,0.039858,0.05128,0.03338,0.05099,0.030639,0.021075,0.020608,-0.000453,0.004491,0.003726,0.04057,0.042611
20120731,0.022398,0.02001,0.015038,0.03177,0.010223,0.01376,-0.007871,-0.000453,0.017405,0.020873,0.01179,0.01087
20120831,0.014175,-0.00694,0.028283,0.02865,0.035419,0.046318,0.132804,-0.000453,0.004809,0.0121,0.02505,0.025806
20120928,0.019778,0.04852,0.029142,0.02085,0.027906,0.014594,0.117235,-0.000453,0.009118,0.002232,0.02536,0.025856
20121031,-0.006274,-0.02408,-0.021046,0.00645,-0.026398,-0.029727,-0.02344,-0.000454,0.003697,0.01196,-0.0182,-0.001362
20121130,-0.002525,0.01862,0.01759,0.01555,0.019789,0.023884,-0.08038,-0.000454,0.005323,0.000828,0.0057,0.014325
20121231,0.007552,0.01625,0.013914,-0.0096,-0.000345,0.005316,-0.043703,-0.000454,0.002577,0.00387,0.00896,0.027569
20130131,0.048593,0.08813,0.061548,0.04039,0.037792,0.020625,-0.0914,-0.000454,-0.002691,0.003851,0.05119,0.06755
